Post ID,Post Link,Text,Date & Time,Author ID,Likes,Comments,Reposts,Hashtags,Content Type,Text Length,Time of Day
341700,https://vk.com/wall-1_341700,"ВКонтакте открывает новые возможности монетизации для сторонних приложений. Сейчас мы тестируем размещение промопостов в ленте новостей для крупных приложений, использующих наш API. Что это значит? 
1. Пользователи видят только проверенный и безопасный контент — никаких сомнительных объявлений. 
2. Разработчики получают гарантированные размещения и зарабатывают на показах. 
3. Рекламодатели получают больше площадок и новые опции таргетинга. 
 
В числе первых участников — приложения VFeed, Amberf",2018-01-29T13:12:57,1,71408,35250,1644,Нет,text_only,1436,День
341523,https://vk.com/wall-1_341523,"Новогодние сюрпризы уже здесь: API историй в раннем доступе! 
 
Попробуйте свои силы в создании редактора историй ВКонтакте: накладывайте свои фильтры, применяйте невероятные эффекты, добавляйте шаблоны для брендирования. Загружать истории через API смогут пользователи, а также, на первом этапе, некоторые сообщества — верифицированные или отмеченные Прометеем (с меткой огонька). 
 
О лучших приложениях мы расскажем в блоге ВКонтакте после официального запуска API. 
 
Узнать подробнее: vk.com/dev",2017-12-28T13:18:38,1,620,92,34,Нет,attachments:photo_text,512,День
341103,https://vk.com/wall-1_341103,"Streaming API — больше, лучше, удобнее. Обо всём по порядку: 
1. Теперь учитывается не только текст записи/комментария, но и названия вложений — найдётся всё, что Вам нужно. 
2. Вы можете получать 100% выборки данных по фильтрам вплоть до ~1800000 событий в месяц. Для подключения этой возможности напишите в Поддержку: vk.com/support?act=new_api, указав API_ID Вашего приложения. 
3. Появилась возможность добавлять минус-слова — запросы, которые должны быть исключены из выборки. 
4. Количество клю",2017-10-05T14:29:50,1,548,115,52,Нет,text_with_link,1001,День
340812,https://vk.com/wall-1_340812,"Руководитель игровой платформы ВКонтакте [id59628|Максим Бабичев] выступил на [club116304541|White Nights Conference] о разработке и продвижении игр.

Максим рассказал, как развивается игровой раздел и что ждёт сервис в будущем, а также анонсировал новую платформу игр на HTML5 в мобильных приложениях ВКонтакте.",2017-07-31T16:52:04,1,556,17,129,Нет,attachments:video_text,312,День
340416,https://vk.com/wall-1_340416,Долгожданный API для сокращения ссылок и подробная статистика переходов — vk.cc теперь умеет больше: https://vk.com/blog/renewed-vkcc,2017-03-09T10:20:14,1,1113,3,54,Нет,attachments:link_text_with_link,133,Утро
340410,https://vk.com/wall-1_340410,"С 16 декабря ВКонтакте меняет политику предоставления API для работы с аудиозаписями. Грядущие изменения не затронут аудиораздел в веб-версии сайта и доверенных приложениях, но приложения сторонних разработчиков не смогут обращаться к большинству методов секции audio. 
 
Подробности, причины и планы: https://vk.com/dev/audio_api",2016-12-02T16:09:27,1,585,1,89,Нет,text_with_link,330,День
340379,https://vk.com/wall-1_340379,"Приглашаем всех причастных к созданию приложений на платформе ВКонтакте познакомиться с новой версией документации по нативным приложениям: vk.com/dev/native

Обновленный раздел выполнен в форме пошагового руководства, с помощью которого вы сможете эффективно планировать процесс создания приложения и получить всю необходимую информацию по каждому из этапов — от регистрации APP_ID до запуска рекламных интеграций.

Мы актуализировали и собрали в одном руководстве данные по социальным механикам, мо",2015-05-15T18:44:50,1,544,0,50,Нет,attachments:photo_text,872,Вечер
340378,https://vk.com/wall-1_340378,"26 сентября будут отключены методы API для работы c сервисом вопросов: questions.add, questions.get, questions.search и другие.

Данный сервис был убран на сайте более двух лет назад, однако API для него продолжал работать.",2014-09-12T17:00:10,1,1438,0,49,Нет,text_only,223,День
340376,https://vk.com/wall-1_340376,"Наблюдаются проблемы с доступом к сайту и API ВКонтакте из стран Европы.
Мы знаем о неполадках и постараемся устранить их в ближайшее время, приносим извинения за доставленные неудобства.",2014-09-11T09:06:00,1,750,0,33,Нет,text_only,187,Утро
340375,https://vk.com/wall-1_340375,"C 1 сентября 2014 г. ВКонтакте вносит изменения в систему взаиморасчетов с разработчиками за размещение медийной рекламы в приложениях. 

Ставка вознаграждения будет зависеть от фактической стоимости размещения (за вычетом всех скидок и комиссий) и составит 40% от суммы продаж. 

Согласно проведенной оценке результатов 1-го полугодия 2014 г выплаты разработчикам по фиксированным ставкам CPM 30 и 45 руб. составляли в среднем 37% от суммы фактических продаж. 

Это изменение даст возможность владел",2014-08-11T14:23:10,1,509,0,29,Нет,text_only,980,День
340368,https://vk.com/wall-1_340368,"Вот уже несколько дней для Android-разработчиков доступна beta-версия VK SDK. В первой версии мы сделали самое необходимое – авторизация пользователя через официальное приложение ВКонтакте и возможность вызова методов API.  

Подробная инструкция для подключения находится по адресу vk.com/dev/android_sdk

Сообщить об ошибках и предложить свои идеи Вы можете на странице проекта в GitHub: github.com/VKCOM/vk-android-sdk

Напоминаем, что для iOS-разработчиков также доступна beta-версия VK SDK: vk.c",2014-01-22T08:17:00,1,1240,2,87,Нет,attachments:photo_text,514,Утро
340366,https://vk.com/wall-1_340366,"Представляем Вашему вниманию beta-версию VK SDK для iOS. Подробная документация по возможностям новой платформы представлена на странице vk.com/dev/ios_sdk
Выход VK SDK для Android OS ожидается в начале января.",2014-01-05T13:35:13,1,610,0,44,Нет,text_only,210,День
340365,https://vk.com/wall-1_340365,,2013-10-04T16:27:20,1,707,0,80,Нет,empty,0,День
340364,https://vk.com/wall-1_340364,"Сегодня произошел глобальный переход ВКонтакте на новую технологическую платформу, в результате чего скорость выполнения всех запросов была увеличена почти вдвое.

Не обошлось и без проблем, над устранением которых мы активно работаем. В случае обнаружения багов в API, Вы можете сообщить о них в баг-трекере по адресу http://vk.com/bugs. 

Перед отправкой нового бага просьба убедиться, что он ещё не зарегистрирован в системе.",2013-05-29T12:59:39,1,1612,1,117,Нет,attachments:photo_text_with_link,428,День
340359,https://vk.com/wall-1_340359,"В рамках конкурса на создание приложений для Windows 8 и Windows Phone, проводимого Microsoft (http://contests.techdays.ru/Win8Apps/2012-11/), мы награждаем разработчиков, которые наиболее полно использовали возможности API ВКонтакте.",2013-01-24T07:53:52,1,620,0,48,Нет,attachments:page_text_with_link,234,Утро
340358,https://vk.com/wall-1_340358,"По просьбам разработчиков мы постепенно увеличиваем количество показов внутренней рекламы приложений. Теперь такие объявления могут отображаться в колонке под левым меню на странице любого приложения.  

CTR объявлений в данных условиях должен снижаться, поэтому мы рекомендуем уменьшать цену за 1000 показов. Специально для этого мы понизили минимальное значение CPM до 0.02 голоса.

На прошедшей неделе внутренняя реклама обзавелась дополнительными настройками таргетинга: пол, возраст и наличие пл",2012-12-21T11:32:48,1,545,0,40,Нет,text_only,744,Утро
340349,https://vk.com/wall-1_340349,"Запущен новый платёжный API для приложений!

Документация для разработчиков: http://vk.cc/WNlY2
Обсуждение: http://vk.cc/WNmbR

Старые методы для работы с голосами будут продолжать работать до 31 октября 2012 года.",2012-09-21T13:51:37,1,506,0,46,Нет,attachments:photo_text_with_link,214,День
340329,https://vk.com/wall-1_340329,"С 1 декабря мы отключаем возможность встраивать виджеты API ВКонтакте в Публичные страницы. К сожалению, за более чем полгода существования этого экспериментального сервиса, нам не встретилось ни одного достойного примера использования этих возможностей. В то же время, с виджетами нередко связаны злоупотребления, а качество исполнения популярных виджетов не соответствует уровню сайта. 1 декабря блок «Виджет» исчезнет со всех Публичных страниц, все виджеты будут отключены.",2011-11-07T13:42:16,1,3134,0,65,Нет,text_only,476,День
540521,https://vk.com/wall-29599237_540521,"6 декабря – день памяти благоверного великого князя Александра Невского. 
Поздравляем!",2024-12-05T04:00:00,29599237,6050,0,605,Нет,attachments:photo_text,86,Ночь
540547,https://vk.com/wall-29599237_540547,"Не ищи недостатков в доме, где тебе открыли дверь.",2024-12-06T20:20:00,29599237,809,0,76,Нет,attachments:photo_text,50,Вечер
540546,https://vk.com/wall-29599237_540546,"Когда мы становимся старше, список желаний на Новый год становится все меньше и меньше, а то что мы действительно хотим на Новый год – нельзя купить за деньги.",2024-12-06T18:12:07,29599237,2315,0,360,Нет,attachments:photo_text,159,Вечер
540545,https://vk.com/wall-29599237_540545,"""Дети больше смотрят на жизнь родителей и отражают ее в своих юных душах, чем слушают их слова"". 
Святитель Тихон Задонский",2024-12-06T16:28:14,29599237,2623,0,382,Нет,attachments:photo_text,123,День
540543,https://vk.com/wall-29599237_540543,"Не бегите впереди Бога. 
Позвольте Ему направлять ваши шаги. У Него Свои планы. У Него Своё время. Божьи часы никогда не торопятся, и никогда не опаздывают. 
Они всегда идут вовремя...",2024-12-06T14:10:00,29599237,5279,0,574,Нет,attachments:photo_text,184,День
540542,https://vk.com/wall-29599237_540542,"Не зря и Христос говорил, что главное не перед людьми являться добродетельным, но перед Отцом Небесным.",2024-12-06T14:00:35,29599237,736,0,35,Нет,attachments:video_text,103,День
540541,https://vk.com/wall-29599237_540541,"У каждого должен быть тот, кто любит тебя, когда ты забываешь любить себя...❤",2024-12-06T11:10:55,29599237,4774,0,891,Нет,attachments:photo_text,77,Утро
540540,https://vk.com/wall-29599237_540540,"6 декабря – день памяти благоверного великого князя Александра Невского. 
Поздравляем!",2024-12-06T07:08:42,29599237,7108,0,580,Нет,attachments:photo_text,86,Утро
540539,https://vk.com/wall-29599237_540539,"Ксения блаженная, помоги, родная!🙏🏻",2024-12-06T04:00:00,29599237,10047,0,258,Нет,attachments:photo_text,35,Ночь
540537,https://vk.com/wall-29599237_540537,"Мама — такой человек, который заменит всех. Но никто не заменит её ❤",2024-12-06T03:00:00,29599237,2556,0,159,Нет,attachments:photo_text,68,Ночь
540536,https://vk.com/wall-29599237_540536,,2024-12-06T00:00:00,29599237,2073,0,316,Нет,attachments:photo_no_text,0,Ночь
540535,https://vk.com/wall-29599237_540535,"Пусть Ангелы Хранят Нас Ночью...❤ 
И Тихо Будят По Утру...🕊",2024-12-05T20:03:24,29599237,3711,0,436,Нет,attachments:photo_text,59,Вечер
540534,https://vk.com/wall-29599237_540534,"Мы не знаем, что будет завтра... 
Пусть оно просто будет... и пусть в нём будут все те, кто нам дорог... ❤",2024-12-05T17:00:01,29599237,4350,0,339,Нет,attachments:photo_text,106,День
540532,https://vk.com/wall-29599237_540532,"6 декабря – день памяти благоверного великого князя Александра Невского. 
Поздравляем!",2024-12-05T14:45:25,29599237,2832,0,201,Нет,attachments:photo_text,86,День
540526,https://vk.com/wall-29599237_540526,"Как бы далеко не находилась мама, она всегда ближе всех…❤",2024-12-05T12:20:47,29599237,2970,0,259,Нет,attachments:photo_text,57,День
540523,https://vk.com/wall-29599237_540523,"Мы не умнее Бога, поэтому должны проявить терпение и смирение перед Его волей.",2024-12-05T12:05:04,29599237,1294,0,68,Нет,attachments:video_text,78,День
540522,https://vk.com/wall-29599237_540522,"Когда мы становимся старше, список желаний на Новый год становится все меньше и меньше, а то что мы действительно хотим на Новый год – нельзя купить за деньги.",2024-12-05T07:30:38,29599237,8825,0,1422,Нет,attachments:photo_text,159,Утро
540520,https://vk.com/wall-29599237_540520,"Нигде ничто не ждет человека. Всегда надо приносить всё с собой. 
Любовь – в семью. Счастье – в будни. Тепло – в дружбу.",2024-12-05T03:00:00,29599237,2723,0,344,Нет,attachments:photo_text,120,Ночь
540519,https://vk.com/wall-29599237_540519,"Когда игра заканчивается, король и пешка падают в одну и ту же коробку.",2024-12-05T00:00:00,29599237,2631,0,274,Нет,attachments:photo_text,71,Ночь
540518,https://vk.com/wall-29599237_540518,,2024-12-04T21:00:00,29599237,3075,0,280,Нет,attachments:photo_no_text,0,Вечер
540517,https://vk.com/wall-29599237_540517,"Пройдет время, и жизнь покажет, что все было только к лучшему.",2024-12-04T18:20:00,29599237,3457,0,359,Нет,attachments:photo_text,62,Вечер
540515,https://vk.com/wall-29599237_540515,"…и никогда не унывай - 
быть может, к счастью сквозь невзгоды 
тебя везут не пароходы, 
а просто старенький трамвай...",2024-12-04T17:02:20,29599237,7433,0,1133,Нет,attachments:photo_text,118,День
540514,https://vk.com/wall-29599237_540514,"Среди забот, тревог, волнений, 
Пожить немного не забудь❤",2024-12-04T15:05:00,29599237,1909,0,178,Нет,attachments:photo_text,57,День
540513,https://vk.com/wall-29599237_540513,"Об этом нужно помнить всякий раз, когда нас просят о милости...",2024-12-04T14:58:08,29599237,1006,0,241,Нет,attachments:video_text,63,День
540511,https://vk.com/wall-29599237_540511,"Всё наладится! Надо потерпеть. Господь терпеливых любит. Потерпи немножечко, чадце мое. Да, неправильно поступили, а ты потерпи. Так будет лучше. Вот посмотри на меня, я улыбаюсь. И ты улыбайся так же. Все будет хорошо. 
Схимонахиня Феодосия (Косоротихина)",2024-12-04T14:02:40,29599237,6193,0,719,Нет,attachments:photo_text,256,День
540510,https://vk.com/wall-29599237_540510,"... И золотом зовётся не молчанье, а мудрость слова, сказанного в срок…",2024-12-04T13:04:01,29599237,3359,0,378,Нет,attachments:photo_text,71,День
540508,https://vk.com/wall-29599237_540508,"4 декабря — Введение во храм Пресвятой Владычицы нашей Богородицы и Приснодевы Марии.
Поздравляем с праздником!",2024-12-04T10:51:00,29599237,6059,0,302,Нет,attachments:photo_text,111,Утро
540507,https://vk.com/wall-29599237_540507,"Я знаю, что всё будет хорошо... Но так порой хочется, чтобы кто-то это подтвердил…❤",2024-12-04T09:03:38,29599237,3459,0,325,Нет,attachments:photo_text,83,Утро
540505,https://vk.com/wall-29599237_540505,4 декабря — Введение во храм Пресвятой Владычицы нашей Богородицы и Приснодевы Марии.,2024-12-04T04:00:00,29599237,15258,0,1202,Нет,attachments:photo_text,85,Ночь
540504,https://vk.com/wall-29599237_540504,"Никакие посты нас не спасут. Там, на небе, УЗИ желудка делать не будут. Там будут делать УЗИ сердца. С собой возьмём только своё сердце и свою совесть❤ 
 
Иеродиакон Илиодор (Гариянц)",2024-12-04T03:00:00,29599237,2055,0,229,Нет,attachments:photo_text,183,Ночь
540503,https://vk.com/wall-29599237_540503,"Наши близкие и любимые люди — это тихие ангелы, 
которые поднимают нас на ноги, когда наши крылья забывают как летать…",2024-12-04T00:00:00,29599237,3018,0,351,Нет,attachments:photo_text,118,Ночь
540502,https://vk.com/wall-29599237_540502,"Господи, если я причинила боль другим, дай мне силы, чтобы извиниться... 
Если же люди сделают больно мне, дай силы простить их...",2024-12-03T21:00:00,29599237,2925,0,187,Нет,attachments:photo_text,130,Вечер
540501,https://vk.com/wall-29599237_540501,Этих слов дьявол боится больше всего. Наше главное оружие против него!,2024-12-03T20:35:00,29599237,1681,0,349,Нет,attachments:video_text,70,Вечер
540500,https://vk.com/wall-29599237_540500,"— Ты веришь в чудо? 
— Нет. 
— Это ты зря. В себя нужно верить.",2024-12-03T19:45:29,29599237,1717,0,165,Нет,attachments:photo_text,63,Вечер
540499,https://vk.com/wall-29599237_540499,"...когда-нибудь мы будем скучать по крошкам на диване, изрисованным обоям и громкому в 7 утра: ""Мамочка, проснись!"". Самое счастливое время – оно сейчас, пока наши дети с нами, на расстоянии вытянутой руки, на расстоянии негромкого: ""Где ты, малыш?"", на расстоянии взгляда...",2024-12-03T17:42:28,29599237,12726,0,2232,Нет,attachments:photo_text,275,День
540497,https://vk.com/wall-29599237_540497,4 декабря — Введение во храм Пресвятой Владычицы нашей Богородицы и Приснодевы Марии.,2024-12-03T15:00:24,29599237,6322,0,795,Нет,attachments:photo_text,85,День
540494,https://vk.com/wall-29599237_540494,"Как бы ни вели себя другие люди, твое дело привести в порядок собственное сердце ❤",2024-12-03T14:25:00,29599237,3377,0,264,Нет,attachments:photo_text,82,День
540492,https://vk.com/wall-29599237_540492,Из любой ситуации есть только один выход - жить дальше...❤,2024-12-03T12:45:32,29599237,16883,0,2750,Нет,attachments:photo_text,58,День
540490,https://vk.com/wall-29599237_540490,"Спотыкаться в жизни полезно, хотя бы для того, чтобы посмотреть, кто подставит плечо, а кто ногу...",2024-12-03T10:30:00,29599237,3203,0,400,Нет,attachments:photo_text,99,Утро
540489,https://vk.com/wall-29599237_540489,Слава Богу за всё ❤,2024-12-03T07:25:20,29599237,6246,0,140,Нет,attachments:photo_text,19,Утро
540487,https://vk.com/wall-29599237_540487,4 декабря — Введение во храм Пресвятой Владычицы нашей Богородицы и Приснодевы Марии.,2024-12-03T04:00:00,29599237,5827,0,414,Нет,attachments:photo_text,85,Ночь
540486,https://vk.com/wall-29599237_540486,"Мама носит нас 9 месяцев в животе, до трёх лет на руках 
и всю жизнь в сердце ❤",2024-12-03T03:00:00,29599237,2684,0,194,Нет,attachments:photo_text,79,Ночь
540485,https://vk.com/wall-29599237_540485,"Люди забудут, что вы говорили. Люди забудут, что вы делали. Люди не забудут одного — что они чувствовали благодаря вам.",2024-12-03T00:00:00,29599237,1345,0,131,Нет,attachments:photo_text,119,Ночь
540484,https://vk.com/wall-29599237_540484,"Теплее не там, где климат мягче, а там, где люди добрее.",2024-12-02T21:00:00,29599237,10824,0,1102,Нет,attachments:photo_text,56,Вечер
540483,https://vk.com/wall-29599237_540483,"Силён не тот, кто обижает 
И в грязь старается втоптать, 
А тот, кто людям помогает 
И их умеет поддержать!",2024-12-02T18:10:00,29599237,8889,0,1198,Нет,attachments:photo_text,107,Вечер
540481,https://vk.com/wall-29599237_540481,"Не забудьте до Нового года ""запустить"" в память доброго дворника. Пусть уберёт все обиды и разочарования!",2024-12-02T15:45:49,29599237,15864,0,2322,Нет,attachments:photo_text,105,День
540479,https://vk.com/wall-29599237_540479,4 декабря — Введение во храм Пресвятой Владычицы нашей Богородицы и Приснодевы Марии.,2024-12-02T14:15:00,29599237,4912,0,325,Нет,attachments:photo_text,85,День
540478,https://vk.com/wall-29599237_540478,Окутав теплом другиx — вы согреваете себя❤,2024-12-02T11:55:59,29599237,3026,0,360,Нет,attachments:photo_text,42,Утро
540477,https://vk.com/wall-29599237_540477,"2 декабря – день памяти Иконы Божией Матери, именуемой ""В скорбех и печалех Утешение"". 
Поздравляем!",2024-12-02T09:20:00,29599237,7704,0,549,Нет,attachments:photo_text,100,Утро
540468,https://vk.com/wall-29599237_540468,"Господи дай сил тому, у кого трудности. 
Дай здоровье тем, кто болеет. 
Дай улыбку тем, у кого горечь и печаль... ❤",2024-12-02T08:50:00,29599237,2389,0,103,Нет,attachments:photo_text,115,Утро
540466,https://vk.com/wall-29599237_540466,"- О чём думают oвцы? 
- О свoём овечном…😊",2024-12-02T07:09:53,29599237,2044,0,361,Нет,attachments:photo_text,41,Утро
540465,https://vk.com/wall-29599237_540465,Слава Богу за всё!❤🙏,2024-12-02T04:00:01,29599237,9729,0,268,Нет,attachments:photo_text,20,Ночь
540464,https://vk.com/wall-29599237_540464,"Всё, что мы делаем в этой жизни, мы делаем для кого-то. Мы должны трудиться для тех, кто нам дорог. Вот в чём смысл.",2024-12-02T03:00:00,29599237,2765,0,301,Нет,attachments:photo_text,116,Ночь
540463,https://vk.com/wall-29599237_540463,"Если кто-то судит твой путь, 
Одолжи ему свои ботинки!",2024-12-02T00:00:00,29599237,2341,0,260,Нет,attachments:photo_text,54,Ночь
540461,https://vk.com/wall-29599237_540461,"Став взрослыми, мы думали, что будeм делать, что захотим. А хочется прoсто домой.",2024-12-01T20:45:26,29599237,11754,0,1827,Нет,attachments:photo_text,81,Вечер
540456,https://vk.com/wall-29599237_540456,"Прими, что есть. 
Отпусти, что было❤
Верь в то, что будет🙏",2024-12-01T17:52:31,29599237,5185,0,580,Нет,attachments:photo_text,58,День
540455,https://vk.com/wall-29599237_540455,Аминь! 🙏❤,2024-12-01T16:55:00,29599237,3425,0,184,Нет,attachments:photo_text,9,День
540453,https://vk.com/wall-29599237_540453,"Понимание между людьми такая редкость, что само желание человека вас понять уже дорогого стоит...❤",2024-12-01T14:25:46,29599237,5960,0,988,Нет,attachments:photo_text,98,День
540450,https://vk.com/wall-29599237_540450,"Когда мы думаем о ком-то - мы невидимо касаемся этих людей... 
Давайте прикасаться друг к другу с добрыми мыслями ❤",2024-12-01T12:45:00,29599237,3465,0,431,Нет,attachments:photo_text,115,День
540449,https://vk.com/wall-29599237_540449,Духовный совет от старца Кирилла (Павлова),2024-12-01T12:40:56,29599237,912,0,76,Нет,attachments:video_text,42,День
540448,https://vk.com/wall-29599237_540448,"Не пытайтесь казаться людям лучше, чем вы есть на самом деле — на цыпочках долго не устоишь. Но и не пытайтесь казаться хуже, чем вы есть — на корточках тоже долго не просидишь. Всегда оставайтесь собой.",2024-12-01T11:18:22,29599237,1662,0,188,Нет,attachments:photo_text,203,Утро
540447,https://vk.com/wall-29599237_540447,"Чем себя напoлняем, тем и живём...",2024-12-01T07:56:39,29599237,16700,0,2741,Нет,attachments:photo_text,34,Утро
540446,https://vk.com/wall-29599237_540446,Спешите любить: люди так быстро уходят...,2024-12-01T06:36:52,29599237,10955,0,871,Нет,attachments:photo_text,41,Утро
540445,https://vk.com/wall-29599237_540445,"Если что-то в жизни нельзя исправить, 
то это обязательно надо пережить!❤",2024-12-01T04:00:00,29599237,9446,0,1138,Нет,attachments:photo_text,73,Ночь
540444,https://vk.com/wall-29599237_540444,"Наша речь лучше всякого паспорта определяет личность любого из нас. 
 
Корней Чуковский",2024-12-01T03:00:03,29599237,1620,0,191,Нет,attachments:photo_text,87,Ночь
540443,https://vk.com/wall-29599237_540443,"Верю я, что кроме суеты 
На земле есть мир очарованья...",2024-12-01T00:00:03,29599237,1650,0,116,Нет,attachments:photo_text,56,Ночь
540442,https://vk.com/wall-29599237_540442,"А Человеку нужен Дом и Сад... 
И два Окна, и старенькие Двери... 
И просто слышать: — Как тебе я Рад... 
И отвечать: — Ах, как тебе я Верю...",2024-11-30T21:00:00,29599237,1251,0,148,Нет,attachments:photo_text,141,Вечер
540441,https://vk.com/wall-29599237_540441,"Когда тоскуешь по дому, просто взгляни на небо. Луна — она одна и та же, где бы ты ни был.",2024-11-30T20:54:00,29599237,1405,0,109,Нет,attachments:video_text,90,Вечер
540440,https://vk.com/wall-29599237_540440,Ангела Хранителя ко сну!,2024-11-30T18:08:31,29599237,4160,0,296,Нет,attachments:photo_text,24,Вечер
540439,https://vk.com/wall-29599237_540439,"Чтобы обидеть человека, много ума не надо. 
Ум нужен, чтобы не обидеть.",2024-11-30T16:00:00,29599237,9610,0,1209,Нет,attachments:photo_text,71,День
540438,https://vk.com/wall-29599237_540438,"Всегда есть тот, кому ты нужен.",2024-11-30T13:45:11,29599237,6238,0,818,Нет,attachments:photo_text,31,День
540437,https://vk.com/wall-29599237_540437,"Вчерашний день — это история. 
Завтрашний — загадка. 
Сегодняшний — подарок.",2024-11-30T12:20:00,29599237,2681,0,287,Нет,attachments:photo_text,76,День
540435,https://vk.com/wall-29599237_540435,"Женщина готова к браку тогда, когда она способна обнаружить в мужчине его достоинства и смириться с его недостатками. 
 
Из книги ""Женщина перед иконой""",2024-11-30T11:01:26,29599237,2013,0,274,Нет,attachments:photo_text,152,Утро
540434,https://vk.com/wall-29599237_540434,"Я, например, очень люблю, когда в воскресенье идёт дождь. Как-то больше чувствуешь уют.

Эрих Мария Ремарк",2024-11-30T09:30:00,29599237,1666,0,103,Нет,attachments:photo_text,106,Утро
540433,https://vk.com/wall-29599237_540433,"В жизни всегда есть люди, через которых Бог любит тебя ❤",2024-11-30T07:10:13,29599237,5381,0,360,Нет,attachments:photo_text,56,Утро
540431,https://vk.com/wall-29599237_540431,"Хорошему человеку бывает стыдно даже перед собакой. 
 
А.П.Чехов",2024-11-30T04:00:00,29599237,3828,0,191,Нет,attachments:photo_text,64,Ночь
540430,https://vk.com/wall-29599237_540430,"Каковы ваши мысли, такова и ваша жизнь... Думайте о хорошем!",2024-11-30T03:00:00,29599237,1935,0,266,Нет,attachments:photo_text,60,Ночь
540428,https://vk.com/wall-29599237_540428,"Чтобы смотреть на жизнь со своей колокольни, надо построить Храм в своей душе.",2024-11-30T00:00:00,29599237,2631,0,200,Нет,attachments:photo_text,78,Ночь
540427,https://vk.com/wall-29599237_540427,Каждое время года нужно встречать с любовью и провожать с благодарностью...🙏,2024-11-29T21:00:03,29599237,1876,0,123,Нет,attachments:photo_text,76,Вечер
540426,https://vk.com/wall-29599237_540426,Ангел Хранитель – храни наших деток всегда и всюду! 🙏,2024-11-29T18:53:17,29599237,5406,0,295,Нет,attachments:photo_text,53,Вечер
